date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
2020-01-23,AK,2020-01-16,2020-01-22,0,0,0,0,0,0
2020-01-30,AK,2020-01-23,2020-01-29,0,0,0,0,0,0
2020-02-06,AK,2020-01-30,2020-02-05,0,0,0,0,0,0
2020-02-13,AK,2020-02-06,2020-02-12,0,0,0,0,0,0
2020-02-20,AK,2020-02-13,2020-02-19,0,0,0,0,0,0
2020-02-27,AK,2020-02-20,2020-02-26,0,0,0,0,0,0
2020-03-05,AK,2020-02-27,2020-03-04,0,0,0,0,0,0
2020-03-12,AK,2020-03-05,2020-03-11,0,0,0,0,0,0
2020-03-19,AK,2020-03-12,2020-03-18,11,11,0,0,0,0
2020-03-26,AK,2020-03-19,2020-03-25,63,52,1,1,0,0
2020-04-02,AK,2020-03-26,2020-04-01,149,86,3,2,0,0
2020-04-09,AK,2020-04-02,2020-04-08,235,86,7,4,0,0
2020-04-16,AK,2020-04-09,2020-04-15,300,65,9,2,0,0
2020-04-23,AK,2020-04-16,2020-04-22,337,37,9,0,0,0
2020-04-30,AK,2020-04-23,2020-04-29,355,18,9,0,0,0
2020-05-07,AK,2020-04-30,2020-05-06,374,19,10,1,0,0
2020-05-14,AK,2020-05-07,2020-05-13,389,15,10,0,0,0
2020-05-21,AK,2020-05-14,2020-05-20,404,15,10,0,0,0
2020-05-28,AK,2020-05-21,2020-05-27,427,23,10,0,0,0
2020-06-04,AK,2020-05-28,2020-06-03,518,91,10,0,0,0
2020-06-11,AK,2020-06-04,2020-06-10,616,98,11,1,0,0
2020-06-18,AK,2020-06-11,2020-06-17,713,97,12,1,0,0
2020-06-25,AK,2020-06-18,2020-06-24,821,108,12,0,0,0
2020-07-02,AK,2020-06-25,2020-07-01,1020,199,13,1,0,0
2020-07-09,AK,2020-07-02,2020-07-08,1273,253,16,3,0,0
2020-07-16,AK,2020-07-09,2020-07-15,1694,421,16,0,0,0
2020-07-23,AK,2020-07-16,2020-07-22,2202,508,18,2,0,0
2020-07-30,AK,2020-07-23,2020-07-29,2886,684,21,3,0,0
2020-08-06,AK,2020-07-30,2020-08-05,3487,601,25,4,0,0
2020-08-13,AK,2020-08-06,2020-08-12,3978,491,27,2,0,0
2020-08-20,AK,2020-08-13,2020-08-19,4536,558,29,2,0,0
2020-08-27,AK,2020-08-20,2020-08-26,5001,465,36,7,0,0
2020-09-03,AK,2020-08-27,2020-09-02,5475,474,38,2,0,0
2020-09-10,AK,2020-09-03,2020-09-09,6022,547,41,3,0,0
2020-09-17,AK,2020-09-10,2020-09-16,6551,529,43,2,0,0
2020-09-24,AK,2020-09-17,2020-09-23,7193,642,44,1,0,0
2020-10-01,AK,2020-09-24,2020-09-30,8026,833,55,11,0,0
2020-10-08,AK,2020-10-01,2020-10-07,9046,1020,59,4,0,0
2020-10-15,AK,2020-10-08,2020-10-14,10387,1341,64,5,0,0
2020-10-22,AK,2020-10-15,2020-10-21,11925,1538,68,4,0,0
2020-10-29,AK,2020-10-22,2020-10-28,14539,2614,71,3,0,0
2020-11-05,AK,2020-10-29,2020-11-04,17266,2727,86,15,0,0
2020-11-12,AK,2020-11-05,2020-11-11,20864,3598,98,12,0,0
2020-11-19,AK,2020-11-12,2020-11-18,25180,4316,102,4,0,0
2020-11-26,AK,2020-11-19,2020-11-25,29292,4112,118,16,0,0
2020-12-03,AK,2020-11-26,2020-12-02,33816,4524,123,5,0,0
2020-12-10,AK,2020-12-03,2020-12-09,38438,4622,150,27,0,0
2020-12-17,AK,2020-12-10,2020-12-16,41855,3417,180,30,0,0
2020-12-24,AK,2020-12-17,2020-12-23,44078,2223,196,16,0,0
2020-12-31,AK,2020-12-24,2020-12-30,45802,1724,203,7,0,0
2021-01-07,AK,2020-12-31,2021-01-06,47828,2026,220,17,0,0
2021-01-14,AK,2021-01-07,2021-01-13,49801,1973,226,6,0,0
2021-01-21,AK,2021-01-14,2021-01-20,51178,1377,253,27,0,0
2021-01-28,AK,2021-01-21,2021-01-27,52359,1181,261,8,0,0
2021-02-04,AK,2021-01-28,2021-02-03,53305,946,279,18,0,0
2021-02-11,AK,2021-02-04,2021-02-10,54294,989,280,1,0,0
2021-02-18,AK,2021-02-11,2021-02-17,55101,807,288,8,0,0
